pca1,pca2,t+1 (prediction)
-0.44118555383439234,0.0008506245646234232,12250.0
-0.44213927436360045,0.00046131508359107553,12600.0
-0.4402321300809183,-0.0022644562989286416,12100.0
-0.44150296952332146,0.0012400618562625003,12250.0
-0.44150363576753243,0.0027975005343268667,12350.0
-0.4430931937318138,-0.0018748808218591812,12200.0
-0.4424570966271818,0.0004613437741376941,11850.0
-0.4450002949772261,0.003965885352572588,11650.0
-0.4494513869631559,0.0043555259918528,11650.0
-0.4529487495232357,0.0016301118644217935,12200.0
-0.4507238260142422,-0.0042106830005566335,11950.0
-0.4488154709042452,-0.0022638643320552856,11950.0
-0.4469081915786589,0.0020191058293323886,11950.0
-0.4484978074079465,7.233676080671821e-05,12150.0
-0.44722631061797424,-0.0014852558247052433,12250.0
-0.4453186618239109,-0.0022641146859661244,12550.0
-0.44150377377598393,-0.0030431195936659835,12400.0
-0.43991369943813224,-0.0010963113798792069,11950.0
-0.4418209535197326,0.0047444417461322205,12200.0
-0.4440471279277635,0.0016295303522630086,12300.0
-0.44468281252664865,-0.00265352847447033,12200.0
-0.44309299489280857,7.200560255881186e-05,12200.0
-0.4430930987606321,0.0008507445142215161,12400.0
-0.4424574483023749,-0.0014855556987006795,12300.0
-0.4418212962982838,-0.0007068219744495994,12250.0
-0.44150342803188536,0.001240022711001394,11800.0
-0.44531811724080733,0.003965914043119204,11750.0
-0.4488156905020816,0.003966099154928171,11400.0
-0.45422009347701997,0.0031877174983540963,10850.0
-0.4602604585136862,0.007081852789690499,10300.0
-0.4694802629445748,0.00863992776730099,10600.0
-0.47456789868151145,0.0020208190016651915,10800.0
-0.47488570611735625,-0.0038197593873606373,10900.0
-0.4710705183281477,-0.002262495366390731,10650.0
-0.47075224645264435,0.0012418793360672844,10650.0
-0.47170627561977585,0.0020206651741086932,10400.0
-0.47488526243652873,0.002020886837472955,10150.0
-0.4780645089228406,0.003967955779994063,10000.0
-0.48219762284345374,0.0031894593612335183,10050.0
-0.48442328977455623,0.0008533390727085426,9950.0
